,bathrooms,has3DModel,propertyType,lotAreaValue,unit,priceChange,zestimate,daysOnZillow,datePriceChanged,price,bedrooms,longitude,hasVideo,latitude,zpid,rentZestimate,lotAreaUnit,livingArea,Street Address,City,State/ZIP
392,1,0,CONDO,,Apt 4I,,,186,,229000,2.0,-73.95102,False,40.79899,244714875,2947,,657,50 W 112th St APT 4I,New York,NY 10026
393,1,0,CONDO,,Apt 4RW,-24000.0,,79,1737360000000.0,375000,1.0,-73.99081,False,40.759605,244809339,6543,,0,347 W 44th St APT 4RW,New York,NY 10036
394,1,0,CONDO,,Apt 34,,410100.0,83,,398000,2.0,-73.8847,False,40.751133,245528328,2813,,0,35-20 82nd St APT 34,Jackson Heights,NY 11372
395,1,0,CONDO,,Apt 1A,,,5,,429900,3.0,-73.8539,False,40.69999,245362953,,,1200,83-77 Woodhaven Boulevard #1A,Woodhaven,NY 11421
396,1,0,CONDO,,Apt 4A,,,9,,179000,2.0,-73.86238,False,40.90084,244427054,,,900,4380 Vireo Avenue #4A,Bronx,NY 10470
397,2,0,CONDO,,B1,,873800.0,5,,875000,1.0,-73.99134,False,40.66629,442150783,,,872,158 15th St #B1,Brooklyn,NY 11215
398,1,0,CONDO,,Apt 1K,,,2,,315000,2.0,-73.93595,False,40.590424,245021746,2836,,1000,3021 Avenue Z APT 1K,Brooklyn,NY 11235
403,1,0,CONDO,,Apt 3R,,,138,,549000,1.0,-73.9738,False,40.67049,245007816,8277,,0,296 Garfield Pl APT 3R,Brooklyn,NY 11215
406,1,0,CONDO,,Apt 76,,938100.0,55,,899000,2.0,-73.967255,False,40.789642,2139218377,5811,,0,7 W 92nd St APT 76,New York,NY 10025
407,2,0,CONDO,,9Z,,476900.0,96,,499000,3.0,-73.8554,False,40.732353,351712969,3769,,1200,99-40 63rd Rd #9Z,Rego Park,NY 11374
413,1,0,CONDO,,Apt 1A,6000.0,428700.0,136,1726729200000.0,435000,2.0,-73.954865,False,40.781143,123271033,3454,,0,123 E 88th St APT 1A,New York,NY 10128
415,5,0,SINGLE_FAMILY,4000.0,BUILDER_SPEC,,,5,,2080000,5.0,-73.75933,False,40.750965,32085008,,sqft,2113,5644 220th Street,Bayside,NY 11364
422,3,0,MULTI_FAMILY,,2FAMILY,,694600.0,19,,699999,5.0,-73.805954,False,40.713993,444112296,,,1312,159-03 84th Rd #2FAMILY,Jamaica,NY 11432
424,2,0,CONDO,,6AB,,1480400.0,17,,1395000,3.0,-73.983986,False,40.779915,72521365,7579,,0,269 W 72nd St #6AB,New York,NY 10023
439,2,0,CONDO,,Apt 12D,,,122,,339000,3.0,-73.83612,False,40.88042,125930700,,,1144,3410 De Reimer Avenue #12D,Bronx,NY 10475
441,1,0,CONDO,,Apt 5S,11000.0,356400.0,29,1738224000000.0,359000,1.0,-73.85567,False,40.722263,88890163,2751,,740,6725 Clyde St APT 5S,Flushing,NY 11375
442,2,0,CONDO,,Apt 4D,,,3,,1275000,2.0,-73.95926,False,40.76692,244896793,8261,,1200,301 E 69th St APT 4D,New York,NY 10021
445,5,0,MULTI_FAMILY,,Unit 1,,1598200.0,3,,1700000,5.0,-73.918884,False,40.693096,443177896,,,3153,1235 Gates Ave UNIT 1,Brooklyn,NY 11221
446,1,0,CONDO,,Apt 5B,,160500.0,10,,170000,1.0,-73.94929,False,40.8287,122063032,2353,,,3603 Broadway APT 5B,New York,NY 10031
448,1,0,CONDO,,Apt 23,,466400.0,16,,450000,1.0,-73.9778,False,40.727,219639955,2734,,0,633 E 11th St APT 23,New York,NY 10009
449,1,0,CONDO,,Apt 5B,,453800.0,31,,435000,3.0,-73.948845,False,40.803627,443738728,,,0,163 Lenox Ave APT 5B,New York,NY 10026
452,9,0,SINGLE_FAMILY,,9,,3186800.0,545,,1200000,25.0,-73.95827,False,40.65635,2056101569,5719,,9850,56 Winthrop St #9,Brooklyn,NY 11225
